0,3,5,6,7
0,3,6,5,6
0,3,6,6,5
0,3,6,9,5
0,3,7,0,1
0,3,7,2,1
0,3,7,2,7
0,3,7,4,8
0,3,7,9,1
0,3,8,1,1
0,3,8,3,5
0,3,8,4,8
0,3,8,7,0
0,3,8,7,2
0,3,8,7,4
0,3,8,7,6
0,3,8,7,7
0,3,8,7,9
0,3,8,8,0
0,3,8,8,0
0,3,8,8,0
0,3,8,8,1
0,3,8,8,1
0,3,8,8,4
0,3,8,8,4
0,3,8,8,5
0,3,8,8,6
0,3,8,8,7
0,3,8,9,0
0,3,8,9,1
0,3,8,9,4
0,3,9,0,2
0,3,9,0,2
0,3,9,0,9
0,3,9,2,4
0,3,9,4,1
0,3,9,6,1
0,3,9,7,4
0,3,9,8,0
0,3,9,9,6
0,4,0,0,4
0,4,0,1,6
0,4,0,2,7
0,4,0,3,7
0,4,0,4,3
0,4,0,4,9
0,4,0,6,2
0,4,0,6,8
0,4,0,7,4
0,4,0,7,5
0,4,0,8,2
0,4,0,8,4
0,4,0,8,8
0,4,0,9,0
0,4,0,9,2
0,4,0,9,6
0,4,0,9,7
0,4,0,9,7
0,4,1,0,4
0,4,1,1,4
0,4,1,2,8
0,4,1,3,7
0,4,1,4,8
0,4,1,6,0
0,4,1,7,5
0,4,1,8,0
0,4,1,8,7
0,4,1,9,4
0,4,2,0,0
0,4,2,0,6
0,4,2,2,3
0,4,2,3,0
0,4,2,4,3
0,4,2,5,4
0,4,2,5,9
0,4,2,6,2
0,4,2,6,5
0,4,2,6,7
0,4,2,6,8
0,4,2,7,1
0,0,0,0,0
0,0,0,0,2
0,0,0,0,4
0,0,0,0,6
